25ph,60conduc,dvconduc,25ox,dvox,reindex,label
4.12,43.0,22.42,40.08,11.5,1.4727,gutter
4.09,40.42,29.98,40.34,10.04,1.4745,gutter
4.17,43.04,27.28,39.51,10.74,1.4715,gutter
4.61,44.04,27.48,39.96,9.35,1.4741,gutter
4.05,41.8,28.88,40.26,10.17,1.4722,gutter
3.96,42.03,22.57,39.44,7.3,1.4746,gutter
4.2,40.04,28.49,40.34,10.42,1.4753,gutter
4.83,39.57,23.13,38.87,11.08,1.4716,gutter
4.45,43.66,25.23,40.15,7.12,1.4724,gutter
4.96,43.6,24.48,40.46,7.59,1.4733,gutter
4.69,41.62,29.69,39.18,7.75,1.4745,gutter
4.82,39.35,27.45,40.61,10.33,1.4735,gutter
4.35,41.41,25.36,39.9,9.93,1.475,gutter
7.13,41.15,27.54,40.35,7.16,1.4721,gutter
6.6,40.77,24.66,40.49,9.27,1.4734,gutter
8.02,43.77,29.24,39.13,7.8,1.4741,gutter
8.13,41.0,26.39,39.24,6.23,1.4726,gutter
6.12,39.67,24.17,40.29,7.46,1.4756,gutter
7.99,45.48,29.58,39.07,11.47,1.4746,gutter
6.78,40.5,26.95,39.98,9.22,1.4716,gutter
8.54,43.04,23.07,40.14,6.88,1.474,gutter
7.57,42.14,28.82,38.95,6.9,1.473,gutter
6.69,41.62,26.84,40.5,7.3,1.4716,gutter
6.14,39.86,23.67,40.52,7.12,1.4741,gutter
8.38,42.73,27.06,40.47,9.04,1.4729,gutter
8.23,39.41,25.81,39.95,10.7,1.4722,gutter
6.39,44.52,23.53,45.43,7.0,1.4725,gutter
6.12,27.07,19.9,14.07,14.22,1.4756,gutter
6.33,29.9,20.99,25.83,10.89,1.4726,gutter
4.87,27.42,17.05,10.7,10.85,1.4724,gutter
6.04,34.32,23.05,12.34,10.96,1.4746,gutter
4.7,35.54,23.24,10.15,17.47,1.4741,gutter
4.98,36.06,23.04,14.69,15.23,1.4727,gutter
6.05,23.44,21.5,22.29,10.2,1.4747,gutter
6.31,39.02,22.07,14.19,11.94,1.4736,gutter
5.31,40.59,17.98,10.87,17.59,1.4718,gutter
