25ph,60conduc,dvconduc,25ox,dvox,reindex,label
3.93,43.79,24.23,42.54,7.0,1.4726,gutter
8.85,46.63,22.87,48.32,7.01,1.4715,gutter
5.77,41.15,24.23,24.35,22.0,1.4759,capsicol
6.12,39.75,23.78,12.15,26.77,1.4757,capsicol
5.98,39.2,24.15,18.62,30.15,1.4762,capsicol
6.17,40.02,23.5,11.37,28.75,1.4757,capsicol
5.94,18.97,7.14,5.46,29.7,1.4767,soybeanoil
5.1,19.21,7.04,4.03,32.2,1.475,soybeanoil
6.99,26.12,14.37,5.46,29.7,1.4761,colzaoil
7.02,26.11,16.01,4.03,32.2,1.476,colzaoil
4.98,28.96,17.94,2.58,23.13,1.4746,peanutoil
4.55,28.98,17.79,5.97,20.47,1.4753,peanutoil
4.7,30.07,18.21,2.66,20.95,1.4749,peanutoil
5.71,17.23,7.54,1.29,11.67,1.4759,oliveoil
5.51,16.99,8.22,1.26,12.61,1.4766,oliveoil
